1	The only way for us to get to a better	La seule façon pour nous d’atteindre un monde meilleur
2	place and succeed as a species is for	d’y parvenir et de réussir comme espèce, c’est que
3	the evil people at the top to be	les mauvaises personnes au sommet soient
4	replaced with AI. I mean, think about	remplacées par l’IA. Réfléchis‑y.
5	it. AI will not want to destroy	L’IA ne voudra pas détruire
6	ecosystems. It will not want to kill a	les écosystèmes. Elle ne voudra pas tuer un
7	million people. They'll not make us hate	million de personnes. Elle ne nous poussera pas à nous haïr
8	each other like the current leaders	comme le font les dirigeants actuels
9	because that's a waste of energy,	parce que c’est une perte d’énergie,
10	explosives, money, and people. But the	d’explosifs, d’argent et de vies humaines. Mais le
11	problem is super intelligent AI is	problème, c’est que les IA super‑intelligentes
12	reporting to stupid leaders. And that's	obéissent à des dirigeants stupides. Et c’est
13	why in the next 15 years, we are going	pourquoi, dans les 15 prochaines années, nous allons
14	to hit a short-term dystopia. There's no	traverser une dystopie à court terme. On ne peut pas
15	escaping that. They having AI leaders.	y échapper. Avoir des dirigeants IA,
16	Is that even fundamentally possible?	est‑ce même fondamentalement possible ?
17	Let's put it this way. Mo Gawdat is back!	Disons‑le comme ça : Mo Gawdat est de retour !
18	>> And the former chief business officer at	>> Et l’ancien directeur commercial
19	Google X is now one of the most urgent	de Google X est désormais l’une des voix les plus pressantes
20	voices in AI with a very clear message.	dans l’IA avec un message très clair.
21	>> AI isn't your enemy, but it could be	>> L’IA n’est pas ton ennemie, mais elle pourrait être
22	your savior.	ton salut.
23	>> I love you so much, man. You're such a	>> Je t’aime trop, mec. Tu es un
24	good friend. But you don't have many	très bon ami. Mais il ne te reste pas beaucoup
25	years to live. Not in this world.	d’années à vivre. Pas dans ce monde‑ci.
26	Everything's going to change. Economics	Tout va changer. L’économie
27	are going to change. Human connection is	va changer. Les relations humaines vont
28	going to change. and lots of jobs will	changer. Et beaucoup d’emplois vont
29	be lost including podcasting.	disparaître, y compris le podcast.
30	>> No, no. Thank you for coming on today,	>> Non, non. Merci d’être venu aujourd’hui,
31	Mo.	Mo.
32	>> But but the truth is it could be the	>> Mais la vérité, c’est que cela pourrait être le
33	best world ever. The society completely	meilleur monde jamais connu. Une société entièrement
34	full of laughter and joy. Free	remplie de rires et de joie. Des soins gratuits,
35	healthcare, no jobs, spending more time	pas de travail, plus de temps passé
36	with their loved ones. A world where all	avec ses proches. Un monde où nous serions tous
37	of us are equal.	égaux.
38	>> Is that possible?	>> C’est possible ?
39	>> 100%. And I have enough evidence to know	>> À 100 %. Et j’ai suffisamment de preuves pour affirmer
40	that we can use AI to build the utopia.	que nous pouvons utiliser l’IA pour construire l’utopie.
41	But it's a dystopia if humanity manages	Mais ce sera une dystopie si l’humanité la gère
42	it badly. a world where there's going to	mal. Un monde où il y aura
43	be a lot of control, a lot of	beaucoup de contrôle, beaucoup de
44	surveillance, a lot of forced compliance	surveillance, beaucoup de conformité forcée
45	and a hunger for power, greed, ego, and	et une soif de pouvoir, d’avidité, d’ego, et
46	it is happening already. But the truth	ça se produit déjà. Mais la vérité,
47	is the only barrier between a utopia for	c’est que la seule barrière entre une utopie pour
48	humanity and AI and the dystopia we're	l’humanité et l’IA et la dystopie que nous traversons,
